task,worker,answer
0,20,3
0,30,1
0,41,1
1,11,1
1,18,2
1,25,2
2,7,2
2,17,3
2,41,1
3,10,4
3,20,4
4,20,5
4,40,5
5,0,2
5,2,2
6,2,0
6,17,0
6,20,0
7,19,4
7,44,4
8,8,1
8,11,2
8,21,2
9,4,5
9,19,5
10,9,1
10,21,3
10,40,0
11,24,1
11,38,1
12,7,2
12,19,2
12,25,1
13,0,3
13,2,3
13,18,3
14,10,1
14,12,1
14,23,2
15,6,3
15,18,3
15,20,3
16,4,6
16,10,7
16,18,6
17,0,4
17,15,4
18,3,4
18,16,7
18,24,7
19,11,4
19,37,7
20,10,3
20,14,1
20,24,1
21,6,1
21,17,1
21,21,1
22,4,2
22,42,2
23,37,3
23,44,1
24,25,3
24,35,3
25,5,6
25,20,6
25,25,6
26,14,0
26,34,0
27,0,4
27,6,7
27,8,5
28,4,6
28,22,6
28,37,5
29,3,2
29,10,2
30,19,5
30,20,4
30,21,4
31,11,3
31,19,3
31,27,3
32,9,6
32,27,6
32,30,6
33,10,6
33,21,6
34,11,5
34,16,5
35,2,7
35,17,6
35,30,7
36,20,4
36,33,4
36,58,4
37,11,0
37,17,0
38,11,5
38,15,5
38,27,5
39,3,7
39,9,4
39,20,4
40,5,5
40,19,5
41,8,6
41,37,5
42,18,2
43,5,3
43,10,0
44,8,4
44,10,4
44,20,4
45,8,2
45,10,2
45,24,2
46,9,1
46,41,1
47,17,5
47,27,5
48,0,1
48,30,2
49,15,6
49,25,6
49,41,6
50,2,1
50,10,1
51,9,7
51,24,7
51,40,7
52,2,2
52,39,1
53,4,0
53,6,0
53,10,3
54,14,1
54,19,1
55,2,6
55,16,6
55,35,6
56,22,6
57,8,7
57,17,7
57,19,7
58,14,4
58,22,4
58,28,7
59,10,4
59,14,4
59,19,4
60,17,2
60,22,1
60,25,2
61,18,3
61,25,3
62,11,0
62,20,0
62,21,0
63,22,5
63,41,5
63,45,5
64,2,1
64,10,1
64,22,1
65,20,1
65,21,1
65,32,2
66,19,4
66,47,4
67,40,5
67,41,5
68,2,2
69,3,6
69,40,6
69,54,6
70,4,4
70,37,4
71,11,3
71,19,1
71,39,1
72,4,7
72,6,7
73,13,6
73,18,6
74,21,6
74,40,6
75,6,1
75,17,3
75,47,1
76,25,5
76,27,5
77,2,6
77,57,6
78,0,6
78,37,6
78,42,6
79,11,4
79,16,4
79,21,4
80,13,1
80,20,3
81,20,3
81,27,3
81,44,1
82,7,6
82,9,6
82,49,1
83,16,5
83,30,5
83,38,5
84,9,4
84,20,4
84,37,4
85,20,5
85,25,5
86,9,6
86,16,6
86,21,6
87,4,4
87,5,4
88,14,0
88,20,0
88,37,0
89,44,4
89,48,4
90,9,7
90,20,4
90,47,7
91,27,0
91,32,0
92,0,3
92,6,1
92,25,3
93,11,3
93,22,1
93,33,3
94,12,6
94,30,5
94,45,5
95,11,5
95,15,5
96,16,7
96,57,7
97,19,4
97,20,4
97,25,4
98,6,1
98,20,1
98,25,1
99,16,3
99,20,3
99,35,3
100,5,5
100,20,5
100,37,5
101,10,4
101,21,4
101,37,7
102,4,4
102,5,4
102,6,4
103,25,2
103,41,1
104,3,7
104,35,7
104,40,4
105,5,7
105,25,7
105,44,7
106,5,6
106,15,6
106,17,6
107,27,2
107,44,2
107,45,1
108,0,4
108,16,4
108,54,4
109,16,2
109,21,2
109,41,2
110,15,2
110,19,1
110,25,2
111,6,1
111,21,1
111,37,7
112,0,7
112,9,7
112,21,7
113,9,4
113,28,4
113,30,6
114,4,0
114,20,0
115,6,7
115,22,4
115,35,7
116,10,7
116,20,7
116,22,6
117,0,4
117,5,4
117,25,4
118,3,0
118,39,0
119,17,2
119,41,1
120,0,6
120,18,6
120,37,6
121,35,7
121,42,4
122,0,7
122,17,7
122,33,6
123,0,7
123,11,6
123,40,7
124,3,2
124,32,2
124,40,1
125,10,2
125,40,2
126,2,1
126,5,2
126,18,2
127,3,4
127,4,4
127,41,4
128,0,1
128,6,1
128,15,1
129,20,3
129,21,3
129,49,3
130,9,1
130,19,1
130,22,1
131,0,6
131,5,6
131,15,6
132,6,0
132,33,0
132,45,3
133,2,6
133,20,6
134,3,6
134,35,6
135,32,1
135,34,1
135,41,1
